Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Cobbe, K; Hesse, C; Hilton, J; Schulman, J",,,Assoc Informat Syst,"Cobbe, Karl; Hesse, Christopher; Hilton, Jacob; Schulman, John",,,Leveraging Procedural Generation to Benchmark Reinforcement Learning,25TH AMERICAS CONFERENCE ON INFORMATION SYSTEMS (AMCIS 2019),,,,,25th Americas Conference on Information Systems of the Association-for-Information-Systems( AMCIS),"AUG 15-17, 2019","Cancun, MEXICO",Assoc Informat Syst,,,,,,,,,,,,,,,,,,,,,,,,,978-0-9966831-8-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000712432702015,View Full Record in Web of Science
C,"Pereira, YH; Ueda, R; Galhardi, LB; Brancher, JD",,,IEEE,"Pereira, Yago Henrique; Ueda, Roger; Galhardi, Lucas Busatta; Brancher, Jacques Dulio",,,Using Procedural Content Generation for Storytelling in a Serious Game called Orange Care,2019 18TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2019),Brazilian Symposium on Games and Digital Entertainment SBGAMES,,,,18th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"OCT 28-31, 2019","Rio De Janeiro, BRAZIL","CAPES,Conselho Nacl Desenvolvimento Cientifico Tecnologico,Fundacao Carlos Chagas Filho Amparo Pesquisa Estado Rio Janeiro",,,,,,,,,"Galhardi, Lucas/ABE-5873-2020; Brancher, Jacques/GZM-2781-2022","Galhardi, Lucas/0000-0002-5998-3887; ",,,,,,,,,,,,,2159-6654,2159-6662,978-1-7281-4637-9,,,,2019,,,,,,,192,197,,10.1109/SBGames.2019.00033,http://dx.doi.org/10.1109/SBGames.2019.00033,,,,,,,,,,,,,WOS:000522226400020,View Full Record in Web of Science
J,"Rodrigues, L; Bonidia, R; Brancher, J",,,,"Rodrigues, Luiz; Bonidia, Robson; Brancher, Jacques",,,Procedural versus human level generation: Two sides of the same coin?,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,,,,,,,,,,,,,,,,,"Antonio Lima Rodrigues, Luiz/HKO-3811-2023; Bonidia, Robson/ABC-1768-2020; Brancher, Jacques/GZM-2781-2022","Bonidia, Robson/0000-0003-4975-7867; Brancher, Jacques/0000-0003-0990-747X; Rodrigues, Luiz/0000-0003-0343-3701",,,,,,,,,,,,,1071-5819,1095-9300,,,,SEP,2020,141,,,,,,,,102465,10.1016/j.ijhcs.2020.102465,http://dx.doi.org/10.1016/j.ijhcs.2020.102465,,,,,,,,,,,,,WOS:000543435100007,View Full Record in Web of Science
C,"Sirota, J; Bulitko, V; Brown, MRG; Hernandez, SP",,,IEEE,"Sirota, Joshua; Bulitko, Vadim; Brown, Matthew R. G.; Hernandez, Sergio Poo",,,Towards Procedurally Generated Languages for Non-playable Characters in Video Games,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300051,View Full Record in Web of Science
C,"Sestini, A; Kuhnle, A; Bagdanov, AD",,,IEEE,"Sestini, Alessandro; Kuhnle, Alexander; Bagdanov, Andrew D.",,,Demonstration-Efficient Inverse Reinforcement Learning in Procedurally Generated Environments,2021 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 17-21, 2021",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-6654-3886-5,,,,2021,,,,,,,404,411,,10.1109/COG52621.2021.9619084,http://dx.doi.org/10.1109/COG52621.2021.9619084,,,,,,,,,,,,,WOS:000842962500052,View Full Record in Web of Science
J,"Paraschos, PD; Koulouriotis, DE",,,,"Paraschos, Panagiotis D.; Koulouriotis, Dimitrios E.",,,Game Difficulty Adaptation and Experience Personalization: A Literature Review,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,,,,,,,,,,,,,,,,"Paraschos, Panagiotis/AAL-7843-2021","Paraschos, Panagiotis/0000-0002-0979-9643; KOULOURIOTIS, DIMITRIOS/0000-0003-0194-0654",,,,,,,,,,,,,1044-7318,1532-7590,,,,JAN 2,2023,39,1,,,,,1,22,,10.1080/10447318.2021.2020008,http://dx.doi.org/10.1080/10447318.2021.2020008,,MAR 2022,,,,,,,,,,,WOS:000784419200001,View Full Record in Web of Science
C,"Huber, T; Mertes, S; Rangelova, S; Flutura, S; Andre, E",,,IEEE,"Huber, Tobias; Mertes, Silvan; Rangelova, Stanislava; Flutura, Simon; Andre, Elisabeth",,,Dynamic Difficulty Adjustment in Virtual Reality Exergames through Experience-driven Procedural Content Generation,2021 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE (IEEE SSCI 2021),,,,,IEEE Symposium Series on Computational Intelligence (IEEE SSCI),"DEC 05-07, 2021",ELECTR NETWORK,"IEEE,IEEE Computat Intelligence Soc",,,,,,,,,"Mertes, Silvan/GWZ-4755-2022","Huber, Tobias/0000-0002-5010-4006",,,,,,,,,,,,,,,978-1-7281-9048-8,,,,2021,,,,,,,,,,10.1109/SSCI50451.2021.9660086,http://dx.doi.org/10.1109/SSCI50451.2021.9660086,,,,,,,,,,,,,WOS:000824464300264,View Full Record in Web of Science
J,"Walton, SP; Rahat, AAM; Stovold, J",,,,"Walton, Sean P.; Rahat, Alma A. M.; Stovold, James",,,Evaluating Mixed-Initiative Procedural Level Design Tools Using a Triple-Blind Mixed-Method User Study,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,"Walton, Sean/D-7118-2013","Walton, Sean/0000-0002-6451-265X; Stovold, James/0000-0002-0708-2630; Rahat, Alma/0000-0002-5023-1371",,,,,,,,,,,,,2475-1502,2475-1510,,,,SEP,2022,14,3,,,,,413,422,,10.1109/TG.2021.3086215,http://dx.doi.org/10.1109/TG.2021.3086215,,,,,,,,,,,,,WOS:000853840900011,View Full Record in Web of Science
C,"Sandhu, A; McCoy, J",,"Khosmood, F; Pirker, J; Apperley, T; Deterding, S",,"Sandhu, Arunpreet; McCoy, Joshua",,,A Framework for Integrating Architectural Design Patterns into PCG,PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES (FDG'19),,,,,14th International Conference on the Foundations of Digital Games (FDG),"AUG 26-30, 2019","San Luis Obispo, CA","Soc Advancement Sci Digital Games,Assoc Comp Machinery,ACM SIGGRAPH,ACM SIGAI,ACM SIGCHI,Cal Poly Comp Sci & Software Engn,Zynga,iFixit",,,,,,,,,,"McCoy, Joshua/0000-0002-3819-837X",,,,,,,,,,,,,,,978-1-4503-7217-6,,,,2019,,,,,,,,,,10.1145/3337722.3341839,http://dx.doi.org/10.1145/3337722.3341839,,,,,,,,,,,,,WOS:000557260000049,View Full Record in Web of Science
C,"Xu, JD; Okido, Y; Sae-Lao, S; Paliyawan, P; Thawonmas, R; Harada, T",,"Duque, D; White, J; Rodrigues, N; Vilaca, JL; Dias, N",,"Xu, Jingdi; Okido, Yuuki; Sae-Lao, Sunee; Paliyawan, Pujana; Thawonmas, Ruck; Harada, Tomohiro",,,Promoting Emotional Well-Being with Angry-Birds-like Gameplay on Pixel Image Levels,2019 IEEE 7TH INTERNATIONAL CONFERENCE ON SERIOUS GAMES AND APPLICATIONS FOR HEALTH (SEGAH),IEEE International Conference on Serious Games and Applications for Health,,,,IEEE 7th International Conference on Serious Games and Applications for Health (SeGAH),"AUG 05-07, 2019","Kyoto, JAPAN",IEEE,,,,,,,,,,,,,,,,,,,,,,,2330-5649,,978-1-7281-0300-6,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000556154500023,View Full Record in Web of Science
C,"Park, K; Mott, BW; Min, W; Boyer, KE; Wiebe, EN; Lester, JC",,,IEEE,"Park, Kyungjin; Mott, Bradford W.; Min, Wookhee; Boyer, Kristy Elizabeth; Wiebe, Eric N.; Lester, James C.",,,Generating Educational Game Levels with Multistep Deep Convolutional Generative Adversarial Networks,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,"Min, Wookhee/0000-0001-8900-0514",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300054,View Full Record in Web of Science
C,"Rosyid, HA; Hasanah, H; Fathurrozi, MI; Akbar, MI",,,IEEE,"Rosyid, Harits Ar; Hasanah, Hidayatul; Fathurrozi, M. Iqbal; Akbar, Muhammad Iqbal",,,Block-based Approach to Observe Game Content Space in Endless-runner Game,"2019 INTERNATIONAL CONFERENCE ON ELECTRICAL, ELECTRONICS AND INFORMATION ENGINEERING (ICEEIE)",,,,,"International Conference on Electrical, Electronics and Information Engineering (ICEEIE)","OCT 03-04, 2019","Denpasar, INDONESIA","IEEE Indonesia Sect,Univ Negeri Malang,Univ Udayana",,,,,,,,,"Akbar, Muhammad Iqbal/GPG-0134-2022; Rosyid, Harits Ar/AFQ-8861-2022","Akbar, Muhammad Iqbal/0000-0003-3867-4898; ",,,,,,,,,,,,,,,978-1-7281-4160-2,,,,2019,,,,,,,273,+,,,,,,,,,,,,,,,,WOS:000542975800053,View Full Record in Web of Science
J,"Khoshkangini, R; Valetto, G; Marconi, A; Pistore, M",,,,"Khoshkangini, Reza; Valetto, Giuseppe; Marconi, Annapaola; Pistore, Marco",,,Automatic generation and recommendation of personalized challenges for gamification,USER MODELING AND USER-ADAPTED INTERACTION,,,,,,,,,,,,,,,,,"; Marconi, Annapaola/B-3919-2017","Pistore, Marco/0000-0003-1425-942X; KHOSHKANGINI, REZA/0000-0002-3797-4605; Marconi, Annapaola/0000-0001-8699-7777",,,,,,,,,,,,,0924-1868,1573-1391,,,,MAR,2021,31,1,,,,,1,34,,10.1007/s11257-019-09255-2,http://dx.doi.org/10.1007/s11257-019-09255-2,,MAY 2020,,,,,,,,,,,WOS:000535335000001,View Full Record in Web of Science
J,"Tait, ER; Nelson, IL",,,,"Tait, Emma R.; Nelson, Ingrid L.",,,Nonscalability and generating digital outer space natures in No Man's Sky,ENVIRONMENT AND PLANNING E-NATURE AND SPACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514-8486,2514-8494,,,,JUN,2022,5,2,,,,,694,718,,10.1177/25148486211000746,http://dx.doi.org/10.1177/25148486211000746,,,,,,,,,,,,,WOS:000809620500010,View Full Record in Web of Science
J,"Maia, LF; Viana, W; Trinta, F",,,,"Maia, Luis Fernando; Viana, Windson; Trinta, Fernando",,,Transposition of Location-based Games: Using Procedural Content Generation to deploy balanced game maps to multiple locations,PERVASIVE AND MOBILE COMPUTING,,,,,,,,,,,,,,,,,"DE CARVALHO, WINDSON Viana/E-8998-2015; Trinta, Fernando/J-1229-2017","DE CARVALHO, WINDSON Viana/0000-0002-8627-0823; Maia, Luis Fernando/0000-0002-9388-6386; Trinta, Fernando/0000-0002-0206-1419",,,,,,,,,,,,,1574-1192,1873-1589,,,,JAN,2021,70,,,,,,,,101302,10.1016/j.pmcj.2020.101302,http://dx.doi.org/10.1016/j.pmcj.2020.101302,,,,,,,,,,,,,WOS:000609116200001,View Full Record in Web of Science
J,"Alvarez, A; Dahlskog, S; Font, J; Togelius, J",,,,"Alvarez, Alberto; Dahlskog, Steve; Font, Jose; Togelius, Julian",,,Interactive Constrained MAP-Elites: Analysis and Evaluation of the Expressiveness of the Feature Dimensions,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,,"Alvarez Uribe, Alberto Enrique/0000-0002-7738-1601; Font Fernandez, Jose Maria/0000-0003-3924-7484; Togelius, Julian/0000-0003-3128-4598",,,,,,,,,,,,,2475-1502,2475-1510,,,,JUN,2022,14,2,,,,,202,211,,10.1109/TG.2020.3046133,http://dx.doi.org/10.1109/TG.2020.3046133,,,,,,,,,,,,,WOS:000811581700012,View Full Record in Web of Science
C,"Kanagawa, Y; Kaneko, T",,,IEEE,"Kanagawa, Yuji; Kaneko, Tomoyuki",,,Rogue-Gym: A New Challenge for Generalization in Reinforcement Learning,2019 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE COG),"AUG 20-23, 2019","London, ENGLAND","IEEE,Queeen Mary Univ London,Microsoft,WARGAMING.NET,Unity,Creat Assembly,IEEE Computat Inetllgence Soc,Draughts",,,,,,,,,,"Kanagawa, Yuji/0000-0002-0925-3894",,,,,,,,,,,,,2325-4270,,978-1-7281-1884-0,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,WOS:000843154300120,View Full Record in Web of Science
C,"Volz, V; Schrum, J; Liu, JL; Lucas, SM; Smith, A; Risi, S",,"Aguirre, H",,"Volz, Vanessa; Schrum, Jacob; Liu, Jialin; Lucas, Simon M.; Smith, Adam; Risi, Sebastian",,,Evolving Mario Levels in the Latent Space of a Deep Convolutional Generative Adversarial Network,GECCO'18: PROCEEDINGS OF THE 2018 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,,,,,Genetic and Evolutionary Computation Conference (GECCO),"JUL 15-19, 2018","Kyoto, JAPAN","Assoc Comp Machinery Special Interest Grp Genet & Evolutionary Computat,Assoc Comp Machinery,SparkCognition,Nat Res,Sentient,Uber AI Labs,Springer,Beacon,NEC,Fujitsu Ltd,Rakuten Linkshare,NTT DATA Engn Syst Corp,DataDirect Networks Japan,HPCTECH Corp,Intelligent Light,Japanese Soc Evolutionary Computat,Shinshu Univ,Univ Electro Commun,Univ Electro Commun, Artificial Intelligence eXplorat Res Ctr",,,,,,,,,"LIU, Jialin/M-3290-2018","LIU, Jialin/0000-0001-7047-8454",,,,,,,,,,,,,,,978-1-4503-5618-3,,,,2018,,,,,,,221,228,,10.1145/3205455.3205517,http://dx.doi.org/10.1145/3205455.3205517,,,,,,,,,,,,,WOS:000579327800032,View Full Record in Web of Science
C,"Bulitko, V; Botea, A",,,IEEE,"Bulitko, Vadim; Botea, Adi",,,Evolving Romanian Crossword Puzzles with Deep Learning and Heuristic Search,2021 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 17-21, 2021",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-6654-3886-5,,,,2021,,,,,,,1092,1096,,10.1109/COG52621.2021.9619056,http://dx.doi.org/10.1109/COG52621.2021.9619056,,,,,,,,,,,,,WOS:000842962500160,View Full Record in Web of Science
C,"Kim, PH; Crawfis, R",,,IEEE,"Kim, Paul Hyunjin; Crawfis, Roger",,,Intelligent Maze Generation based on Topological Constraints,2018 7TH INTERNATIONAL CONGRESS ON ADVANCED APPLIED INFORMATICS (IIAI-AAI 2018),,,,,7th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI),"JUL 08-13, 2018","Yonago, JAPAN",Int Inst Appl Informat,,,,,,,,,,,,,,,,,,,,,,,,,978-1-5386-7447-5,,,,2018,,,,,,,867,872,,10.1109/IIAI-AAI.2018.00176,http://dx.doi.org/10.1109/IIAI-AAI.2018.00176,,,,,,,,,,,,,WOS:000494425300165,View Full Record in Web of Science
C,"Stephens, C; Exton, C",,"Rocha, AP; Steels, L; VandenHerik, J",,"Stephens, Conor; Exton, Chris",,,Balancing Multiplayer Games across Player Skill Levels using Deep Reinforcement Learning,ICAART: PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE - VOL 3,ICAART,,,,14th International Conference on Agents and Artificial Intelligence (ICAART),"FEB 03-05, 2022",ELECTR NETWORK,,,,,,,,,,,,,,,,,,,,,,,,2184-433X,,978-989-758-547-0,,,,2022,,,,,,,827,833,,10.5220/0010914200003116,http://dx.doi.org/10.5220/0010914200003116,,,,,,,,,,,,,WOS:000774776400101,View Full Record in Web of Science
C,"van Aanholt, L; Bidarra, R",,,IEEE,"van Aanholt, Levi; Bidarra, Rafael",,,Declarative procedural generation of architecture with semantic architectural profiles,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 24-27, 2020",ELECTR NETWORK,"IEEE,Games 24 Seven,NC,Dimps,Modl Ai,IEEE Computat Intelligence Soc,Kindai Univ,VS Games",,,,,,,,,,"Bidarra, Rafael/0000-0003-4281-6019",,,,,,,,,,,,,2325-4270,,978-1-7281-4533-4,,,,2020,,,,,,,351,358,,,,,,,,,,,,,,,,WOS:000632592300046,View Full Record in Web of Science
C,"Gisslen, L; Eakins, A; Gordillo, C; Bergdahl, J; Tollmar, K",,,IEEE,"Gisslen, Linus; Eakins, Andy; Gordillo, Camilo; Bergdahl, Joakim; Tollmar, Konrad",,,Adversarial Reinforcement Learning for Procedural Content Generation,2021 IEEE CONFERENCE ON GAMES (COG),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 17-21, 2021",ELECTR NETWORK,IEEE,,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-6654-3886-5,,,,2021,,,,,,,9,16,,10.1109/COG52621.2021.9619053,http://dx.doi.org/10.1109/COG52621.2021.9619053,,,,,,,,,,,,,WOS:000842962500002,View Full Record in Web of Science
J,"Hooshyar, D; Yousefi, M; Lim, H",,,,"Hooshyar, Danial; Yousefi, Moslem; Lim, Heuiseok",,,A systematic review of data-driven approaches in player modeling of educational games,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,,,,,,"Hooshyar, Danial/X-5126-2018","Hooshyar, Danial/0000-0002-9143-6648",,,,,,,,,,,,,0269-2821,1573-7462,,,,OCT,2019,52,3,,,,,1997,2017,,10.1007/s10462-017-9609-8,http://dx.doi.org/10.1007/s10462-017-9609-8,,,,,,,,,,,,,WOS:000486256400014,View Full Record in Web of Science
C,"Dutra, PVM; Villela, SM; Neto, RF",,,IEEE,"Moreira Dutra, Paulo Vinicius; Villela, Saulo Moraes; Neto, Raul Fonseca",,,Procedural Content Generation using Reinforcement Learning and Entropy Measure as Feedback,2022 21ST BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES),,,,,21st Brazilian Symposium on Computer Games and Digital Entertainment (SBGames),"OCT 24-27, 2022","Natal, BRAZIL","Natalnet Associate Labs,Fed Univ Rio Grande Norte,Brazilian Comp Soc,CNPq,CAPES,IEEE,IEEE NE Brazil RAS CS Joint Chapter",,,,,,,,,,,,,,,,,,,,,,,,,978-1-6654-6156-6,,,,2022,,,,,,,7,12,,10.1109/SBGAMES56371.2022.9961076,http://dx.doi.org/10.1109/SBGAMES56371.2022.9961076,,,,,,,,,,,,,WOS:000903487100002,View Full Record in Web of Science
C,"Pereira, LT; Prado, PVS; Toledo, C",,,IEEE,"Pereira, Leonardo T.; Prado, Paulo V. S.; Toledo, Claudio",,,Evolving Dungeon Maps With Locked Door Missions,2018 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC),IEEE Congress on Evolutionary Computation,,,,IEEE Congress on Evolutionary Computation (IEEE CEC) as part of the IEEE World Congress on Computational Intelligence (IEEE WCCI),"JUL 08-13, 2018","Rio de Janeiro, BRAZIL","IEEE,IEEE Computat Intelligence Soc",,,,,,,,,"Toledo, Claudio/E-1443-2011","Toledo, Claudio/0000-0003-4776-8052; Pereira, Leonardo Tortoro/0000-0003-3032-6653",,,,,,,,,,,,,,,978-1-5090-6017-7,,,,2018,,,,,,,1,8,,10.1109/CEC.2018.8477718,http://dx.doi.org/10.1109/CEC.2018.8477718,,,,,,,,,,,,,WOS:000451175500001,View Full Record in Web of Science
C,"Nealey, I; Ferrier, N; Insley, JA; Mateevitsi, VA; Rizzi, S; Schulze, J",,,IEEE Comp Soc,"Nealey, Isaac; Ferrier, Nicola; Insley, Joseph A.; Mateevitsi, Victor A.; Rizzi, Silvio; Schulze, Jurgen",,,"Sort-Last In-Transit Data Visualization with SENSEI, Catalyst, and Unreal Engine",2022 IEEE 12TH SYMPOSIUM ON LARGE DATA ANALYSIS AND VISUALIZATION (LDAV 2022),Symposium on Large Data Analysis and Visualization,,,,12th IEEE Symposium on Large-Scale Data Analysis and Visualization (LDAV),"OCT 16, 2022","Oklahoma City, OK","IEEE,IEEE Comp Soc,IEEE VGTC",,,,,,,,,,,,,,,,,,,,,,,2373-7514,,978-1-6654-9156-3,,,,2022,,,,,,,3,4,,,,,,,,,,,,,,,,WOS:000904305700002,View Full Record in Web of Science
J,"Loiacono, D; Arnaboldi, L",,,,"Loiacono, Daniele; Arnaboldi, Luca",,,Multiobjective Evolutionary Map Design for Cube 2: Sauerbraten,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,"Loiacono, Daniele/AAB-9829-2019","Loiacono, Daniele/0000-0002-5355-0634",,,,,,,,,,,,,2475-1502,2475-1510,,,,MAR,2019,11,1,,,SI,,36,47,,10.1109/TG.2018.2830746,http://dx.doi.org/10.1109/TG.2018.2830746,,,,,,,,,,,,,WOS:000461865300005,View Full Record in Web of Science
J,"Adao, T; Padua, L; Marques, P; Sousa, JJ; Peres, E; Magalhaes, L",,,,"Adao, Telmo; Padua, Luis; Marques, Pedro; Sousa, Joaquim Joao; Peres, Emanuel; Magalhaes, Luis",,,"Procedural Modeling of Buildings Composed of Arbitrarily-Shaped Floor-Plans: Background, Progress, Contributions and Challenges of a Methodology Oriented to Cultural Heritage",COMPUTERS,,,,,,,,,,,,,,,,,"Peres, Emanuel/E-8392-2011; Adão, Telmo/AAQ-2119-2020; Pádua, Luís/X-8695-2018; Magalhães, Luís G/B-4300","Peres, Emanuel/0000-0001-5669-7976; Adão, Telmo/0000-0002-2727-0014; Pádua, Luís/0000-0002-7570-9773; Magalhães, Luís G/0000-0002-4426-0002; Marques, Pedro/0000-0003-0240-5469; Sousa, Joaquim Joao/0000-0003-4533",,,,,,,,,,,,,2073-431X,,,,,JUN,2019,8,2,,,,,,,38,10.3390/computers8020038,http://dx.doi.org/10.3390/computers8020038,,,,,,,,,,,,,WOS:000475513000017,View Full Record in Web of Science
C,"Gonzalez-Duque, M; Palm, RB; Ha, D; Risi, S",,,IEEE,"Gonzalez-Duque, Miguel; Palm, Rasmus Berg; Ha, David; Risi, Sebastian",,,Finding Game Levels with the Right Difficulty in a Few Trials through Intelligent Trial-and-Error,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),IEEE Conference on Computational Intelligence and Games,,,,IEEE Conference on Games (IEEE CoG),"AUG 24-27, 2020",ELECTR NETWORK,"IEEE,Games 24 Seven,NC,Dimps,Modl Ai,IEEE Computat Intelligence Soc,Kindai Univ,VS Games",,,,,,,,,,,,,,,,,,,,,,,2325-4270,,978-1-7281-4533-4,,,,2020,,,,,,,503,510,,,,,,,,,,,,,,,,WOS:000632592300065,View Full Record in Web of Science
J,"Nam, SG; Hsueh, CH; Ikeda, K",,,,"Nam, Sang-Gyu; Hsueh, Chu-Hsuan; Ikeda, Kokolo",,,Generation of Game Stages With Quality and Diversity by Reinforcement Learning in Turn-Based RPG,IEEE TRANSACTIONS ON GAMES,,,,,,,,,,,,,,,,,,"Nam, SangGyu/0000-0002-7424-8469; Hsueh, Chu-Hsuan/0000-0001-8888-3116",,,,,,,,,,,,,2475-1502,2475-1510,,,,SEP,2022,14,3,,,,,488,501,,10.1109/TG.2021.3113313,http://dx.doi.org/10.1109/TG.2021.3113313,,,,,,,,,,,,,WOS:000853840900018,View Full Record in Web of Science
J,"Ruela, AS; Delgado, KV; Bernardes, J",,,,"Ruela, Andre Siqueira; Delgado, Karina Valdivia; Bernardes, Joao",,,A multi-objective evolutionary approach for the nonlinear scale-free level problem,APPLIED INTELLIGENCE,,,,,,,,,,,,,,,,,,"Ruela, Andre/0000-0002-8530-5545",,,,,,,,,,,,,0924-669X,1573-7497,,,,DEC,2020,50,12,,,,,4223,4240,,10.1007/s10489-020-01788-z,http://dx.doi.org/10.1007/s10489-020-01788-z,,JUL 2020,,,,,,,,,,,WOS:000548505500002,View Full Record in Web of Science
C,"Gambi, A; Mueller, M; Fraser, G",,"Zhang, DM; Moller, A",,"Gambi, Alessio; Mueller, Marc; Fraser, Gordon",,,Automatically Testing Self-Driving Cars with Search-Based Procedural Content Generation,PROCEEDINGS OF THE 28TH ACM SIGSOFT INTERNATIONAL SYMPOSIUM ON SOFTWARE TESTING AND ANALYSIS (ISSTA '19),,,,,28th ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA),"JUL 15-19, 2019","Beijing, PEOPLES R CHINA","Assoc Comp Machinery,ACM SIGSOFT,Microsoft Res,DiDi,Google,Huawei,MoocTest,Facebook,Fujitsu,Sourcebrella,UCLouvain",,,,,,,,,"Gambi, Alessio/AAG-9452-2020",,,,,,,,,,,,,,,,978-1-4503-6224-5,,,,2019,,,,,,,318,328,,10.1145/3293882.3330566,http://dx.doi.org/10.1145/3293882.3330566,,,,,,,,,,,,,WOS:000503498000031,View Full Record in Web of Science
C,"Janovsky, M",,"Shults, R; Dlesk, A",,"Janovsky, M.",,,NEW TECHNOLOGIES AND THEIR INTERCONNECTION IN THE CREATION AND PROCESSING OF 3DMODELS AND SCENES,"MEASUREMENT, VISUALISATION AND PROCESSING IN BIM FOR DESIGN AND CONSTRUCTION MANAGEMENT II","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,,"ISPRS WG V/7 Conference on Measurement, Visualisation and Processing in BIM for Design and Construction Management II","FEB 07-08, 2022","Prague, CZECH REPUBLIC",Int Soc Photogrammetry & Remote Sensing WG V 7,,,,,,,,,,"Janovsky, Michal/0000-0002-3781-8573",,,,,,,,,,,,,1682-1750,2194-9034,,,,,2022,46-5,W1,,,,,129,134,,10.5194/isprs-archives-XLVI-5-W1-2022-129-2022,http://dx.doi.org/10.5194/isprs-archives-XLVI-5-W1-2022-129-2022,,,,,,,,,,,,,WOS:000861105900019,View Full Record in Web of Science
